Date,Institution/Advisor,Type,Description,Amount,,,,,,
1/15/24,Edward Jones,Investment Advisory Fees,Annual portfolio management fee," $1,250.00 ",,INVESTMENT & FINANCIAL SUMMARY:,,,DEDUCTIBILITY NOTES:,
2/8/24,H&R Block,Tax Preparation Fees,2023 tax return preparation, $485.00 ,,Investment Advisory Fees:," $3,359.00 ",,Investment Advisory Fees:,Limited deductibility - consult tax professional
2/22/24,Wells Fargo,Safe Deposit Box,Annual safe deposit box rental, $75.00 ,,Tax Preparation Fees:, $760.00 ,,Tax Preparation Fees:,Generally deductible for business/investment
3/10/24,Financial Planning Associates,Investment Advisory Fees,Quarterly financial planning, $350.00 ,,Safe Deposit Box:, $120.00 ,,Safe Deposit Box:,Deductible if used for investment documents
3/25/24,Morningstar,Investment Publications,Annual premium subscription, $249.00 ,,Legal Fees (Investment):," $2,250.00 ",,Legal Fees:,Deductible if related to investment advice
4/12/24,TurboTax,Tax Preparation Software,Professional tax software, $189.99 ,,Investment Publications:, $437.98 ,,,
4/28/24,Charles Schwab,Investment Advisory Fees,Brokerage account fees, $45.00 ,,Financial Software:, $99.99 ,,TAX PLANNING NOTES:,
5/15/24,Estate Attorney,Legal Fees (Investment),Investment trust legal work, $750.00 ,,Investment Research:," $2,595.00 ",,1. Investment advisory fees subject to 2% AGI floor (pre-2018),
5/30/24,Barron's,Investment Publications,Annual magazine subscription, $39.99 ,,Tax Preparation Software:, $269.98 ,,2. Tax preparation fees may be deductible for business,
6/8/24,Quicken,Financial Software,Personal finance software, $99.99 ,,,,,3. Keep detailed records of investment-related expenses,
6/20/24,Investment News,Investment Publications,Professional publication, $129.00 ,,TOTAL INVESTMENT & FINANCIAL:," $9,891.95 ",,4. Consider timing of expenses for tax optimization,
7/10/24,Fidelity,Investment Advisory Fees,401k management fee, $125.00 ,,,,,5. Consult E&N Tax & Accounting for complex situations,
7/25/24,Tax Attorney,Legal Fees (Investment),IRS audit representation," $1,500.00 ",,QUARTERLY BREAKDOWN:,,,,
8/12/24,Bloomberg Terminal,Investment Research,Professional research access," $2,000.00 ",,Q1 (Jan-Mar):," $2,409.00 ",,,
8/28/24,Financial Advisor,Investment Advisory Fees,Investment consultation, $450.00 ,,Q2 (Apr-Jun):," $1,253.97 ",,,
9/15/24,Kiplinger's,Investment Publications,Personal finance magazine, $19.99 ,,Q3 (Jul-Sep):," $4,183.99 ",,,
9/30/24,E*TRADE,Investment Advisory Fees,Trading platform fees, $89.00 ,,Q4 (Oct-Dec):," $2,044.99 ",,,
10/8/24,CPA Firm,Tax Preparation Fees,Quarterly tax planning, $275.00 ,,,,,,
10/22/24,Value Line,Investment Research,Investment research service, $595.00 ,,MAJOR EXPENSES (>$500):,,,,
11/5/24,Bank Safe Deposit,Safe Deposit Box,Additional box rental, $45.00 ,,Count of Large Expenses:,6,,,
11/18/24,Investment Advisor,Investment Advisory Fees,Year-end portfolio review, $650.00 ,,Total Large Expenses:," $6,745.00 ",,,
12/3/24,TaxAct,Tax Preparation Software,Backup tax software, $79.99 ,,Percentage of Total:,68%,,,
12/15/24,Financial Planner,Investment Advisory Fees,Retirement planning session, $400.00 ,,,,,,
