Date,Destination/Purpose,Expense Type,Method,Amount,Miles,Deduction,,,,
1/8/24,Client Meeting - ABC Corp,Vehicle,Standard Mileage, $-   ,25, $16.75 ,,VEHICLE & TRAVEL SUMMARY:,,
1/12/24,Bank - Business Banking,Vehicle,Standard Mileage, $-   ,12, $8.04 ,,2024 Standard Mileage Rate:,0.67,
1/18/24,Gas for Business Travel,Vehicle,Actual Expense, $45.67 ,0, $45.67 ,,Total Business Miles:,388,
1/25/24,Hotel - Tax Conference,Lodging,Actual Expense, $189.00 ,35, $189.00 ,,Standard Mileage Deduction:,0,
2/3/24,Client Meeting - XYZ LLC,Vehicle,Standard Mileage, $-   ,18, $12.06 ,,Total Actual Vehicle Expenses:," $1,013.11 ",
2/10/24,Parking - Attorney Office,Parking,Actual Expense, $15.00 ,17, $15.00 ,,Total Other Travel Expenses:, $711.50 ,
2/17/24,Business Lunch Travel,Vehicle,Standard Mileage, $-   ,17, $11.39 ,,TOTAL VEHICLE & TRAVEL DEDUCTION:," $1,273.07 ",
2/24/24,Uber to Airport,Transportation,Actual Expense, $45.50 ,0, $45.50 ,,,,
3/5/24,Flight - Tax Conference,Airfare,Actual Expense, $425.00 ,0, $425.00 ,,EXPENSE TYPE BREAKDOWN:,0.67,per mile
3/12/24,Car Maintenance,Vehicle,Actual Expense, $189.95 ,0, $189.95 ,,Vehicle Expenses:, $561.57 ,
3/19/24,Client Home Visit,Vehicle,Standard Mileage, $-   ,23, $15.41 ,,Lodging:, $189.00 ,
3/26/24,Taxi from Hotel,Transportation,Actual Expense, $28.50 ,27, $28.50 ,,Airfare:, $425.00 ,
4/2/24,Business Lunch Location,Vehicle,Standard Mileage, $-   ,17, $11.39 ,,Transportation:, $74.00 ,
4/9/24,Oil Change,Vehicle,Actual Expense, $65.99 ,0, $65.99 ,,Parking:, $15.00 ,
4/16/24,Client Site Visit,Vehicle,Standard Mileage, $-   ,35, $23.45 ,,Tolls:, $8.50 ,
4/23/24,Tolls - Highway,Tolls,Actual Expense, $8.50 ,15, $8.50 ,,,,
4/30/24,Business Meeting,Vehicle,Standard Mileage, $-   ,17, $11.39 ,,,,
5/7/24,Restaurant - Client Meeting,Vehicle,Standard Mileage, $-   ,22, $14.74 ,,,,
5/14/24,Court Appearance,Vehicle,Standard Mileage, $-   ,47, $31.49 ,,,,
5/21/24,Conference Travel,Vehicle,Standard Mileage, $-   ,37, $24.79 ,,,,
5/28/24,Quarterly Client Visit,Vehicle,Standard Mileage, $-   ,23, $15.41 ,,,,
6/4/24,Training Location,Vehicle,Standard Mileage, $-   ,25, $16.75 ,,,,
6/11/24,Client Coffee Meeting,Vehicle,Standard Mileage, $-   ,15, $10.05 ,,,,
6/18/24,Professional Development,Vehicle,Standard Mileage, $-   ,33, $22.11 ,,,,
6/25/24,Joint Client Meeting,Vehicle,Standard Mileage, $-   ,22, $14.74 ,,,,
